County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Acadia,1,2,2,3,8,9,9,11,39,47,61,72
Allen,2,2,2,5,5,7,9,11,15,19,26,34
Ascension,26,36,65,91,90,107,139,153,161,189,201,222
Assumption,1,2,2,5,8,8,14,17,20,25,31,33
Avoyelles,1,3,5,7,10,12,13,14,19,31,34,37
Beauregard,1,2,3,3,4,4,4,5,5,8,10,13
Bienville,1,1,1,1,1,3,3,5,6,6,8,9
Bossier,12,12,25,32,37,45,56,57,63,75,87,95
Caddo,34,40,93,115,140,189,219,222,242,298,336,377
Calcasieu,4,5,11,15,22,28,35,42,65,90,108,119
Caldwell,0,0,0,0,0,0,1,1,0,0,0,1
Cameron,0,0,0,0,0,0,0,0,0,0,0,0
Catahoula,1,1,1,1,1,1,1,3,3,3,5,6
Claiborne,2,2,2,2,3,4,4,4,8,10,11,18
Concordia,0,0,0,0,0,0,0,0,3,5,8,10
De Soto,5,6,8,11,13,21,25,28,30,39,42,46
East Baton Rouge,43,58,75,105,124,153,164,188,228,244,325,389
East Carroll,0,0,0,0,0,1,1,1,1,1,1,1
East Feliciana,0,0,0,4,5,6,8,8,9,10,14,19
Evangeline,2,2,2,2,4,4,4,8,10,11,16,18
Franklin,0,0,0,0,0,4,4,5,5,5,5,10
Grant,1,1,1,1,1,1,2,2,2,3,5,5
Iberia,3,2,2,3,4,9,11,18,36,49,67,78
Iberville,10,14,14,17,20,21,22,28,35,36,69,81
Jackson,0,0,1,1,3,2,2,2,3,4,4,4
Jefferson,252,293,359,458,548,744,761,838,1193,1433,2178,2495
Jefferson Davis,0,0,1,1,1,1,2,3,5,9,13,14
Lafayette,9,12,20,30,44,48,50,82,118,159,247,276
Lafourche,15,16,18,28,30,34,36,51,74,105,158,185
LaSalle,0,0,0,0,0,2,2,2,2,2,2,2
Lincoln,2,2,2,3,7,6,7,8,12,13,13,17
Livingston,5,6,6,11,11,12,15,16,23,25,33,40
Madison,0,0,0,1,1,1,1,1,1,1,1,1
Morehouse,0,0,1,3,2,2,2,2,2,2,4,7
Natchitoches,2,2,2,2,2,2,2,2,2,2,4,6
Orleans,567,675,827,997,1170,1298,1350,1480,1834,2270,3148,3476
Ouachita,9,7,10,19,25,34,41,44,57,80,94,114
Plaquemines,8,8,9,13,16,19,20,22,37,47,68,75
Pointe Coupee,0,0,0,1,1,2,2,2,7,7,12,13
Rapides,8,10,14,25,26,37,41,44,58,69,77,81
Red River,0,0,0,0,0,0,1,1,1,1,1,2
Richland,2,1,1,1,2,2,2,2,2,3,4,4
Sabine,0,0,0,0,0,0,1,1,2,3,4,4
St. Bernard,15,19,23,28,31,43,45,53,71,94,181,196
St. Charles,15,15,17,22,23,30,31,36,71,82,180,210
St. Helena,0,0,0,0,0,0,0,0,1,1,1,1
St. James,8,9,14,29,40,48,55,65,77,86,110,116
St. John the Baptist,16,21,27,38,41,54,57,75,104,118,274,290
St. Landry,3,3,4,5,10,10,10,15,31,45,56,68
St. Martin,0,1,1,2,10,13,13,20,32,41,58,69
St. Mary,1,2,5,5,6,7,7,10,22,26,42,47
St. Tammany,47,52,67,89,111,134,138,186,220,270,399,435
Tangipahoa,3,4,5,7,7,10,10,18,25,33,42,55
Tensas,0,0,0,0,0,0,0,0,0,0,0,0
Terrebonne,14,14,15,21,23,26,29,34,40,55,97,102
Union,0,0,2,2,4,7,9,9,9,11,13,17
Vermilion,0,0,0,1,2,3,2,3,8,10,16,18
Vernon,0,2,2,2,2,2,2,3,3,6,7,8
Washington,2,3,4,6,8,10,12,22,28,39,50,57
Webster,3,3,5,8,9,9,9,11,17,17,19,23
West Baton Rouge,5,5,7,8,11,12,12,12,13,14,19,23
West Carroll,0,0,0,0,0,0,0,0,0,0,0,0
West Feliciana,0,0,0,0,0,4,4,4,4,8,20,11
Winn,0,0,1,1,1,1,1,1,1,1,2,2
Out of LA,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,11,12,11,13,16,9,8,14,22,28,38,40
