Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Arizona,Apache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Cochise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Coconino,0,0,1,1,2,2,2,2,2,2,5,5,10,10,10
Arizona,Gila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Graham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Greenlee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,La Paz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Maricopa,2,2,2,2,5,5,5,5,5,5,12,12,28,31,31
Arizona,Mohave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Navajo,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Arizona,Pima,0,1,1,1,4,4,4,4,4,4,11,11,11,12,13
Arizona,Pinal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Yavapai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Yuma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Out of AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Unassigned,0,2,2,4,2,4,6,9,13,18,3,12,2,10,10
