Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Wyoming,Albany,0,0,0,0,0,0,0,0
Wyoming,Big Horn,0,0,0,0,0,0,0,0
Wyoming,Campbell,0,0,0,0,0,0,0,0
Wyoming,Carbon,0,0,0,0,0,0,0,0
Wyoming,Converse,0,0,0,0,0,0,0,0
Wyoming,Crook,0,0,0,0,0,0,0,0
Wyoming,Fremont,0,0,0,0,0,0,0,0
Wyoming,Goshen,0,0,0,0,0,0,0,0
Wyoming,Hot Springs,0,0,0,0,0,0,0,0
Wyoming,Johnson,0,0,0,0,0,0,0,0
Wyoming,Laramie,0,0,0,0,0,0,0,0
Wyoming,Lincoln,0,0,0,0,0,0,0,0
Wyoming,Natrona,0,0,0,0,0,0,0,0
Wyoming,Niobrara,0,0,0,0,0,0,0,0
Wyoming,Park,0,0,0,0,0,0,0,0
Wyoming,Platte,0,0,0,0,0,0,0,0
Wyoming,Sheridan,0,0,0,0,0,0,0,0
Wyoming,Sublette,0,0,0,0,0,0,0,0
Wyoming,Sweetwater,0,0,0,0,0,0,0,0
Wyoming,Teton,0,0,0,0,0,0,0,0
Wyoming,Uinta,0,0,0,0,0,0,0,0
Wyoming,Washakie,0,0,0,0,0,0,0,0
Wyoming,Weston,0,0,0,0,0,0,0,0
Wyoming,Out of WY,0,0,0,0,0,0,0,0
Wyoming,Unassigned,0,0,0,0,0,0,0,0
