Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
New Hampshire,Belknap,0,0,0,0,0,0,0,0
New Hampshire,Carroll,0,0,0,0,0,0,0,0
New Hampshire,Cheshire,0,0,0,0,0,0,0,0
New Hampshire,Coos,0,0,0,0,0,0,0,0
New Hampshire,Grafton,0,0,0,0,0,0,0,0
New Hampshire,Hillsborough,1,1,1,1,1,2,2,2
New Hampshire,Merrimack,0,0,0,0,0,0,0,0
New Hampshire,Rockingham,0,0,0,0,0,0,0,1
New Hampshire,Strafford,0,0,0,0,0,0,0,0
New Hampshire,Sullivan,0,0,0,0,0,0,0,0
New Hampshire,Out of NH,0,0,0,0,0,0,0,0
New Hampshire,Unassigned,0,0,0,0,0,0,0,0
