Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Alaska,Aleutians East,0,0,0,0,0,0,0,0
Alaska,Aleutians West,0,0,0,0,0,0,0,0
Alaska,Anchorage,13,17,17,28,30,43,54,59
Alaska,Bethel,0,0,0,0,0,0,0,0
Alaska,Bristol Bay,0,0,0,0,0,0,0,0
Alaska,Denali,0,0,0,0,0,0,0,0
Alaska,Dillingham,0,0,0,0,0,0,0,0
Alaska,Fairbanks North Star,7,7,10,11,10,19,23,28
Alaska,Haines,0,0,0,0,0,0,0,0
Alaska,Hoonah-Angoon,0,0,0,0,0,0,0,0
Alaska,Juneau,1,1,2,2,3,4,4,5
Alaska,Kenai Peninsula,3,3,4,4,4,5,7,7
Alaska,Ketchikan Gateway,6,6,8,11,11,12,12,13
Alaska,Kodiak Island,0,0,0,0,0,0,0,0
Alaska,Kusilvak,0,0,0,0,0,0,0,0
Alaska,Lake and Peninsula,0,0,0,0,0,0,0,0
Alaska,Matanuska-Susitna,0,0,0,0,0,2,2,2
Alaska,Nome,0,0,0,0,0,0,0,0
Alaska,North Slope,0,0,0,0,0,0,0,0
Alaska,Northwest Arctic,0,0,0,0,0,0,0,0
Alaska,Petersburg,0,0,0,0,0,0,0,0
Alaska,Prince of Wales-Hyder,0,0,0,0,0,0,0,0
Alaska,Sitka,0,0,0,0,0,0,0,0
Alaska,Skagway,0,0,0,0,0,0,0,0
Alaska,Southeast Fairbanks,0,0,0,0,0,0,0,0
Alaska,Valdez-Cordova,0,0,0,0,0,0,0,0
Alaska,Wrangell,0,0,0,0,0,0,0,0
Alaska,Yakutat,0,0,0,0,0,0,0,0
Alaska,Yukon-Koyukuk,0,0,0,0,0,0,0,0
Alaska,Out of AK,0,0,0,0,0,0,0,0
Alaska,Unassigned,0,0,0,0,0,0,0,0
