Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Wisconsin,Adams,0,0,0,0,0,0,0,0
Wisconsin,Ashland,0,0,0,0,0,0,0,0
Wisconsin,Barron,0,0,0,0,0,0,0,0
Wisconsin,Bayfield,1,1,1,1,2,2,2,2
Wisconsin,Brown,3,3,3,4,5,6,6,7
Wisconsin,Buffalo,0,0,0,0,0,0,0,0
Wisconsin,Burnett,0,0,0,0,0,0,0,0
Wisconsin,Calumet,1,1,1,1,1,1,1,1
Wisconsin,Chippewa,1,1,1,1,3,4,4,7
Wisconsin,Clark,0,0,1,1,2,3,3,3
Wisconsin,Columbia,5,5,5,5,6,7,9,9
Wisconsin,Crawford,0,0,0,0,0,0,0,0
Wisconsin,Dane,70,72,88,134,158,172,183,192
Wisconsin,Dodge,2,2,3,3,6,6,8,8
Wisconsin,Door,0,0,0,0,0,0,0,0
Wisconsin,Douglas,2,4,4,4,5,6,6,6
Wisconsin,Dunn,1,1,1,1,2,2,3,3
Wisconsin,Eau Claire,4,4,5,6,7,7,10,10
Wisconsin,Florence,0,0,0,0,0,0,0,0
Wisconsin,Fond du Lac,16,18,18,17,18,20,20,21
Wisconsin,Forest,0,0,0,0,0,0,0,0
Wisconsin,Grant,0,0,1,1,1,1,1,1
Wisconsin,Green,1,1,1,1,3,4,4,5
Wisconsin,Green Lake,0,0,0,0,0,0,0,0
Wisconsin,Iowa,0,1,3,3,3,3,3,3
Wisconsin,Iron,0,0,0,0,1,1,1,1
Wisconsin,Jackson,0,0,0,0,0,0,0,2
Wisconsin,Jefferson,2,4,5,5,6,8,8,10
Wisconsin,Juneau,0,0,0,1,2,2,3,3
Wisconsin,Kenosha,12,13,14,19,23,24,29,30
Wisconsin,Kewaunee,0,0,0,0,0,0,0,0
Wisconsin,La Crosse,5,5,10,12,14,15,15,16
Wisconsin,Lafayette,0,0,0,0,0,0,0,0
Wisconsin,Langlade,0,0,0,0,0,0,0,0
Wisconsin,Lincoln,0,0,0,0,0,0,0,0
Wisconsin,Manitowoc,0,0,0,0,0,0,0,0
Wisconsin,Marathon,1,1,1,1,1,1,1,2
Wisconsin,Marinette,0,0,0,0,1,1,1,1
Wisconsin,Marquette,0,0,0,0,0,0,0,2
Wisconsin,Menominee,0,0,0,0,0,0,0,0
Wisconsin,Milwaukee,204,243,325,347,411,541,606,617
Wisconsin,Monroe,0,0,1,1,1,1,1,1
Wisconsin,Oconto,0,0,0,0,0,0,0,0
Wisconsin,Oneida,0,0,0,0,0,1,1,3
Wisconsin,Outagamie,2,2,4,4,4,4,6,9
Wisconsin,Ozaukee,14,16,20,22,30,33,34,36
Wisconsin,Pepin,0,0,0,0,0,0,0,0
Wisconsin,Pierce,3,3,3,3,4,4,4,6
Wisconsin,Polk,0,0,0,0,0,0,0,0
Wisconsin,Portage,0,0,0,1,1,1,1,1
Wisconsin,Price,0,0,0,0,0,0,0,0
Wisconsin,Racine,5,5,7,8,9,16,17,21
Wisconsin,Richland,0,0,0,0,0,2,2,2
Wisconsin,Rock,3,3,4,8,12,12,14,15
Wisconsin,Rusk,0,0,0,0,0,0,0,0
Wisconsin,St. Croix,3,4,4,4,4,4,4,4
Wisconsin,Sauk,3,4,6,7,8,11,12,13
Wisconsin,Sawyer,0,0,0,0,0,0,0,0
Wisconsin,Shawano,0,0,0,0,0,0,0,0
Wisconsin,Sheboygan,6,6,7,7,7,8,8,8
Wisconsin,Taylor,0,0,0,0,0,0,0,0
Wisconsin,Trempealeau,0,0,0,0,0,0,0,0
Wisconsin,Vernon,0,0,0,0,0,0,0,0
Wisconsin,Vilas,0,0,0,1,2,2,2,3
Wisconsin,Walworth,3,4,5,5,5,6,6,6
Wisconsin,Washburn,0,0,0,0,0,0,0,0
Wisconsin,Washington,15,17,21,25,27,31,31,34
Wisconsin,Waukesha,31,31,42,56,61,72,83,93
Wisconsin,Waupaca,0,0,0,1,1,1,1,1
Wisconsin,Waushara,0,0,0,0,0,0,0,0
Wisconsin,Winnebago,5,5,5,6,6,7,8,10
Wisconsin,Wood,1,1,1,1,2,2,2,2
Wisconsin,Out of WI,0,0,0,0,0,0,0,0
Wisconsin,Unassigned,0,0,0,0,61,0,0,0
