Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Minnesota,Aitkin,0,0,0,0,0,0,0,0
Minnesota,Anoka,7,7,7,8,10,12,17,22
Minnesota,Becker,0,0,0,0,0,0,0,0
Minnesota,Beltrami,0,0,0,0,1,2,2,3
Minnesota,Benton,1,1,1,1,1,1,1,1
Minnesota,Big Stone,1,1,1,1,1,1,1,1
Minnesota,Blue Earth,5,5,5,6,7,7,8,9
Minnesota,Brown,0,0,0,0,0,0,0,0
Minnesota,Carlton,0,0,0,0,0,0,0,0
Minnesota,Carver,8,8,8,8,8,9,9,10
Minnesota,Cass,1,1,1,1,1,1,1,1
Minnesota,Chippewa,0,0,0,0,0,0,0,0
Minnesota,Chisago,2,2,2,2,2,1,1,3
Minnesota,Clay,2,3,3,4,4,4,4,4
Minnesota,Clearwater,0,0,0,0,0,1,1,2
Minnesota,Cook,0,0,0,0,0,0,0,0
Minnesota,Cottonwood,0,0,0,0,0,0,1,1
Minnesota,Crow Wing,0,0,0,0,0,0,0,0
Minnesota,Dakota,18,21,21,25,28,33,39,46
Minnesota,Dodge,2,3,3,5,5,6,7,8
Minnesota,Douglas,0,0,0,0,0,0,1,1
Minnesota,Faribault,0,0,0,0,1,1,1,1
Minnesota,Fillmore,3,3,3,3,3,5,6,7
Minnesota,Freeborn,0,0,0,0,0,0,0,0
Minnesota,Goodhue,0,0,1,1,2,2,2,3
Minnesota,Grant,0,0,0,0,0,0,0,0
Minnesota,Hennepin,89,103,111,128,141,152,171,190
Minnesota,Houston,0,0,0,0,0,0,0,0
Minnesota,Hubbard,0,0,0,0,0,0,0,0
Minnesota,Isanti,0,0,0,0,0,0,1,2
Minnesota,Itasca,0,0,0,0,0,0,0,1
Minnesota,Jackson,1,1,1,1,1,1,1,1
Minnesota,Kanabec,0,0,0,0,0,0,0,0
Minnesota,Kandiyohi,0,0,0,1,1,1,1,1
Minnesota,Kittson,0,0,0,0,0,0,0,0
Minnesota,Koochiching,0,0,0,0,0,0,0,0
Minnesota,Lac qui Parle,0,0,0,0,0,1,1,1
Minnesota,Lake,0,0,0,0,0,0,0,0
Minnesota,Lake of the Woods,0,0,0,0,0,0,0,0
Minnesota,Le Sueur,1,5,6,6,10,11,11,13
Minnesota,Lincoln,0,0,0,0,1,1,1,1
Minnesota,Lyon,0,0,0,0,0,0,0,0
Minnesota,McLeod,0,0,0,0,0,0,0,0
Minnesota,Mahnomen,0,0,0,0,1,1,1,1
Minnesota,Marshall,0,0,0,0,0,0,0,0
Minnesota,Martin,8,8,10,12,18,19,21,23
Minnesota,Meeker,0,0,0,0,0,0,0,1
Minnesota,Mille Lacs,0,0,0,0,0,0,0,0
Minnesota,Morrison,0,0,0,0,0,0,0,0
Minnesota,Mower,6,6,6,10,10,11,11,12
Minnesota,Murray,0,0,0,0,0,0,0,0
Minnesota,Nicollet,3,3,3,3,3,3,3,3
Minnesota,Nobles,0,0,0,0,0,0,0,0
Minnesota,Norman,0,0,0,0,0,0,0,0
Minnesota,Olmsted,16,18,21,29,34,37,47,51
Minnesota,Otter Tail,0,0,0,0,0,0,1,1
Minnesota,Pennington,0,0,0,0,0,0,0,0
Minnesota,Pine,0,0,0,0,0,0,0,0
Minnesota,Pipestone,0,0,0,0,0,0,0,0
Minnesota,Polk,0,0,0,0,0,0,0,0
Minnesota,Pope,0,0,0,0,0,0,0,0
Minnesota,Ramsey,24,26,27,32,34,42,46,50
Minnesota,Red Lake,0,0,0,0,0,0,0,0
Minnesota,Redwood,0,0,0,0,0,0,0,0
Minnesota,Renville,1,1,1,1,1,1,1,1
Minnesota,Rice,2,2,2,2,2,3,3,3
Minnesota,Rock,0,0,0,0,0,0,0,0
Minnesota,Roseau,0,0,0,0,0,0,0,0
Minnesota,St. Louis,2,2,3,5,5,5,10,12
Minnesota,Scott,5,5,6,6,7,8,9,10
Minnesota,Sherburne,1,1,1,1,3,5,5,7
Minnesota,Sibley,0,0,0,1,1,1,1,1
Minnesota,Stearns,5,5,5,5,5,5,5,5
Minnesota,Steele,3,5,5,5,5,5,5,6
Minnesota,Stevens,0,0,0,0,0,0,0,0
Minnesota,Swift,0,0,0,0,0,0,0,0
Minnesota,Todd,0,0,0,0,0,0,0,0
Minnesota,Traverse,0,0,0,0,0,0,0,0
Minnesota,Wabasha,1,1,3,4,4,4,4,6
Minnesota,Wadena,0,0,0,0,0,0,0,0
Minnesota,Waseca,2,1,1,2,3,3,3,3
Minnesota,Washington,10,10,13,15,22,25,27,34
Minnesota,Watonwan,0,0,0,0,0,0,0,1
Minnesota,Wilkin,0,0,0,1,1,1,1,1
Minnesota,Winona,0,0,2,4,4,4,4,5
Minnesota,Wright,3,3,3,5,5,5,6,6
Minnesota,Yellow Medicine,0,0,0,0,0,0,0,0
Minnesota,Out of MN,0,0,0,0,0,0,0,0
Minnesota,Unassigned,1,0,0,0,0,0,0,0
